,x,y
277,-2.210093012353017,-4.4190688591599105
278,-2.2056469182463845,-4.383497717507166
279,-2.201200824139752,-4.347926575854421
280,-2.1967547300331196,-4.312355434201677
281,-2.1923086359264876,-4.276784292548936
282,-2.187862541819855,-4.2412131508961926
283,-2.183416447713223,-4.2735675557224475
284,-2.1789703536065907,-4.339608278033948
285,-2.1745242594999583,-4.4056490003454485
286,-2.170078165393326,-4.471689722656949
287,-2.165632071286694,-4.537730444968442
288,-2.1611859771800614,-4.6041680449575155
289,-2.1567398830734295,-4.671233776680625
290,-2.152293788966797,-4.738299508403741
291,-2.1478476948601646,-4.805365240126856
292,-2.143401600753532,-4.8724309718499725
293,-2.1389555066469,-4.954890377388477
294,-2.134509412540268,-5.062802754039587
295,-2.1300633184336357,-5.1707151306907075
296,-2.1256172243270033,-5.278627507341827
297,-2.121171130220371,-5.386539883992948
298,-2.116725036113739,-5.34412522304497
299,-2.1122789420071064,-5.206019971464304
300,-2.1078328479004744,-5.067914719883651
301,-2.103386753793842,-4.929809468302985
302,-2.0989406596872096,-4.79513347865956
303,-2.094494565580577,-4.7082368419797245
304,-2.090048471473945,-4.621340205299899
305,-2.0856023773673127,-4.5344435686200635
306,-2.0811562832606807,-4.447546931940238
307,-2.0767101891540483,-4.43441979367605
308,-2.072264095047416,-4.449285665175399
309,-2.0678180009407834,-4.4641515366747475
310,-2.0633719068341514,-4.479017408174094
311,-2.0589258127275194,-4.478872422543532
312,-2.054479718620887,-4.467296530789868
313,-2.0500336245142545,-4.455720639036205
314,-2.045587530407622,-4.44414474728254
315,-2.0411414363009897,-4.434071974334597
316,-2.0366953421943577,-4.425086762222965
317,-2.0322492480877257,-4.416101550111333
318,-2.0278031539810932,-4.4071163379997
319,-2.023357059874461,-4.438034177889081
320,-2.0189109657678284,-4.4823153102111775
321,-2.0144648716611964,-4.52659644253327
322,-2.010018777554564,-4.577937748692349
323,-2.005572683447932,-4.734915092610213
324,-2.0011265893412995,-4.891892436528092
325,-1.9966804952346673,-5.048869780445964
326,-1.9922344011280348,-5.08395348012158
327,-1.9877883070214026,-5.002043719526617
328,-1.9833422129147704,-4.920133958931654
329,-1.978896118808138,-4.851997058721495
330,-1.9744500247015058,-4.936958080304251
331,-1.9700039305948736,-5.021919101887007
332,-1.9655578364882411,-5.106880123469767
333,-1.961111742381609,-5.225960137742826
334,-1.9566656482749767,-5.3551722062420515
335,-1.9522195541683445,-5.484384274741276
336,-1.947773460061712,-5.4539206539524105
337,-1.9433273659550798,-5.30207415511681
338,-1.9388812718484476,-5.15022765628121
339,-1.9344351777418152,-5.148578452032644
340,-1.929989083635183,-5.318415869122946
341,-1.9255429895285507,-5.488253286213247
342,-1.9210968954219183,-5.452899152631999
343,-1.916650801315286,-5.177764809540906
344,-1.9122047072086539,-4.902630466449813
345,-1.9077586131020217,-4.846686460027837
346,-1.9033125189953892,-4.973665119053326
347,-1.898866424888757,-5.100643778078809
348,-1.8944203307821248,-5.138778469564222
349,-1.8899742366754924,-5.141254954372625
350,-1.8855281425688601,-5.143731439181029
351,-1.881082048462228,-5.10967624153267
352,-1.8766359543555957,-5.074172571172036
353,-1.8721898602489633,-5.042672697222055
354,-1.867743766142331,-5.021191333033529
355,-1.8632976720356988,-4.999709968845003
356,-1.8588515779290664,-4.968858169700107
357,-1.8544054838224342,-4.933608418567548
358,-1.849959389715802,-4.916234496134226
359,-1.8455132956091695,-5.005737089963522
360,-1.8410672015025373,-5.095239683792814
361,-1.8366211073959051,-5.154545533701804
362,-1.832175013289273,-5.198994968570817
363,-1.8277289191826405,-5.216733384957783
364,-1.8232828250760083,-5.157760988048151
365,-1.818836730969376,-5.098788591138519
366,-1.8143906368627436,-5.378332229369462
367,-1.8099445427561114,-5.693649069280186
368,-1.8054984486494792,-5.896896536947093
369,-1.8010523545428467,-6.02726961737588
370,-1.7966062604362145,-5.892495370502991
371,-1.7921601663295823,-5.287060228425829
372,-1.78771407222295,-4.772227534592791
373,-1.7832679781163177,-4.715234000603159
374,-1.7788218840096854,-4.664622696086195
375,-1.7743757899030532,-4.956381970206738
376,-1.7699296957964208,-5.248141244327297
377,-1.7654836016897886,-5.379117950245227
378,-1.7610375075831564,-5.4956514968320915
379,-1.756591413476524,-5.199003799391057
380,-1.7521453193698917,-4.835694915626789
381,-1.7476992252632595,-4.942676483594997
382,-1.7432531311566273,-5.134620058846667
383,-1.7388070370499948,-5.202228644276104
384,-1.7343609429433626,-5.251844828873192
385,-1.7299148488367304,-5.1761035936834565
386,-1.725468754730098,-5.115579629282097
387,-1.7210226606234658,-5.580451494691361
388,-1.7165765665168335,-5.912628964126161
389,-1.7121304724102013,-5.647919038439418
390,-1.707684378303569,-5.504898289925942
391,-1.7032382841969367,-5.581983334784077
392,-1.6987921900903045,-5.5585318686503555
393,-1.694346095983672,-5.4572613415210105
394,-1.6899000018770398,-5.505953521702877
395,-1.6854539077704076,-5.600269326590422
396,-1.6810078136637752,-5.805768942938111
397,-1.676561719557143,-5.779237034170323
398,-1.6721156254505107,-5.367496907071038
399,-1.6676695313438785,-5.604584240914597
400,-1.663223437237246,-6.031108616541345
401,-1.6587773431306139,-5.287241555856376
402,-1.6543312490239817,-4.987649681435199
403,-1.6498851549173492,-5.23142931113095
404,-1.645439060810717,-5.518835010666876
405,-1.6409929667040848,-5.752194871265892
406,-1.6365468725974524,-5.8421229061463364
407,-1.6321007784908201,-5.870443331484852
408,-1.627654684384188,-5.797111318162228
409,-1.6232085902775557,-5.471531514641214
410,-1.6187624961709233,-5.435836233990538
411,-1.614316402064291,-5.49374021250995
412,-1.6098703079576588,-5.549854244655696
413,-1.6054242138510264,-5.5096265618539695
414,-1.6009781197443942,-5.457160628680928
415,-1.596532025637762,-5.414516664341741
416,-1.5920859315311295,-5.4883983986993226
417,-1.5876398374244973,-5.493627924140931
418,-1.583193743317865,-5.52345502699022
419,-1.578747649211233,-5.747088190319573
420,-1.5743015551046005,-5.670852358795529
421,-1.5698554609979682,-5.672038463916842
422,-1.565409366891336,-5.768033812167455
423,-1.5609632727847036,-5.908800974936582
424,-1.5565171786780714,-5.896697379164889
425,-1.5520710845714392,-5.967936415264646
426,-1.547624990464807,-5.834976772036845
427,-1.5431788963581745,-5.527459322993381
